Date	BTC Close
01.01.2014	740.3
02.01.2014	775
03.01.2014	812.1
06.01.2014	934.5
07.01.2014	791
08.01.2014	828.5
09.01.2014	850
10.01.2014	834.7
13.01.2014	818.4
14.01.2014	826.9
15.01.2014	839.7
16.01.2014	824
17.01.2014	789
20.01.2014	823.4
21.01.2014	810
22.01.2014	807
23.01.2014	816.2
24.01.2014	781.9
27.01.2014	760.3
28.01.2014	795
29.01.2014	800
30.01.2014	803.9
31.01.2014	800
03.02.2014	810
04.02.2014	813
05.02.2014	791
06.02.2014	771.6
07.02.2014	720
10.02.2014	706.3
11.02.2014	658.9
12.02.2014	685
13.02.2014	634.3
14.02.2014	682
17.02.2014	663.8
18.02.2014	628
19.02.2014	630.4
20.02.2014	578.9
21.02.2014	568
24.02.2014	562.4
25.02.2014	515
26.02.2014	582
27.02.2014	579
28.02.2014	565
03.03.2014	658
04.03.2014	668
05.03.2014	675
06.03.2014	663
07.03.2014	621
10.03.2014	615
11.03.2014	615
12.03.2014	650
13.03.2014	642
14.03.2014	630
17.03.2014	624.3
18.03.2014	618.4
19.03.2014	611
20.03.2014	583.5
21.03.2014	568.8
24.03.2014	590
25.03.2014	582
26.03.2014	595
27.03.2014	498.5
28.03.2014	497.4
31.03.2014	452
01.04.2014	482.8
02.04.2014	443.3
03.04.2014	448.8
04.04.2014	450
07.04.2014	454.2
08.04.2014	448.8
09.04.2014	442.5
10.04.2014	370
11.04.2014	416.3
14.04.2014	459
15.04.2014	515
16.04.2014	522.3
17.04.2014	500.7
21.04.2014	497
22.04.2014	488
23.04.2014	490.2
24.04.2014	497.5
25.04.2014	460
28.04.2014	448
29.04.2014	434
30.04.2014	448.3
01.05.2014	459
02.05.2014	453.5
05.05.2014	427
06.05.2014	430
07.05.2014	438
08.05.2014	442.8
09.05.2014	446
12.05.2014	440
13.05.2014	437.3
14.05.2014	444
15.05.2014	442
16.05.2014	442.3
19.05.2014	439
20.05.2014	476
21.05.2014	477.6
22.05.2014	502.3
23.05.2014	509.5
26.05.2014	575
27.05.2014	570
28.05.2014	577
29.05.2014	573
30.05.2014	629
02.06.2014	669.5
03.06.2014	682.9
04.06.2014	652.3
05.06.2014	663.3
06.06.2014	655
09.06.2014	653.7
10.06.2014	653.6
11.06.2014	637.1
12.06.2014	590
13.06.2014	582.6
16.06.2014	580
17.06.2014	614.3
18.06.2014	611.5
19.06.2014	602
20.06.2014	601
23.06.2014	599.3
24.06.2014	587.3
25.06.2014	568.1
26.06.2014	577.9
27.06.2014	606.2
30.06.2014	640
01.07.2014	650.8
02.07.2014	647.9
03.07.2014	643.6
04.07.2014	632.2
07.07.2014	624
08.07.2014	618.5
09.07.2014	620.2
10.07.2014	610
11.07.2014	625.5
14.07.2014	622.4
15.07.2014	620.9
16.07.2014	621
17.07.2014	627.6
18.07.2014	627.5
21.07.2014	619.8
22.07.2014	612.6
23.07.2014	617.2
24.07.2014	600.3
25.07.2014	598
28.07.2014	586.4
29.07.2014	575
30.07.2014	551
31.07.2014	579
01.08.2014	594.9
04.08.2014	581.1
05.08.2014	575
06.08.2014	577.5
07.08.2014	582.3
08.08.2014	586.4
11.08.2014	572.5
12.08.2014	566
13.08.2014	549
14.08.2014	510
15.08.2014	506.2
18.08.2014	478.2
19.08.2014	490.3
20.08.2014	517
21.08.2014	515.9
22.08.2014	515.6
25.08.2014	502.5
26.08.2014	508.4
27.08.2014	511
28.08.2014	507.8
29.08.2014	507.5
01.09.2014	485.8
02.09.2014	476.8
03.09.2014	474
04.09.2014	489.2
05.09.2014	477.6
08.09.2014	470.4
09.09.2014	472.7
10.09.2014	477.3
11.09.2014	477.1
12.09.2014	471.8
15.09.2014	469.9
16.09.2014	465.1
17.09.2014	456.8
18.09.2014	427.2
19.09.2014	395.3
22.09.2014	397.7
23.09.2014	429.1
24.09.2014	420.4
25.09.2014	409.1
26.09.2014	403
29.09.2014	369.6
30.09.2014	387.1
01.10.2014	383
02.10.2014	371.7
03.10.2014	357.7
06.10.2014	323.8
07.10.2014	331
08.10.2014	350
09.10.2014	363.5
10.10.2014	359.5
13.10.2014	383.4
14.10.2014	397.9
15.10.2014	393.5
16.10.2014	379.3
17.10.2014	380.3
20.10.2014	381
21.10.2014	382.8
22.10.2014	380
23.10.2014	356
24.10.2014	356.1
27.10.2014	350.6
28.10.2014	353.1
29.10.2014	333.2
30.10.2014	343.9
31.10.2014	337
03.11.2014	323.6
04.11.2014	326.9
05.11.2014	337.5
06.11.2014	348.5
07.11.2014	341.5
10.11.2014	368
11.11.2014	367
12.11.2014	417.9
13.11.2014	419.4
14.11.2014	399.1
17.11.2014	387.6
18.11.2014	370
19.11.2014	379.2
20.11.2014	355.9
21.11.2014	349.3
24.11.2014	373.2
25.11.2014	375.8
26.11.2014	367.9
27.11.2014	369.6
28.11.2014	375.6
01.12.2014	377.6
02.12.2014	382
03.12.2014	375.7
04.12.2014	370.3
05.12.2014	378.4
08.12.2014	363.3
09.12.2014	353.9
10.12.2014	346.9
11.12.2014	350
12.12.2014	352.8
15.12.2014	347.2
16.12.2014	330.6
17.12.2014	318.2
18.12.2014	308.3
19.12.2014	315.7
22.12.2014	329
23.12.2014	332.9
24.12.2014	322.8
25.12.2014	319
26.12.2014	328.5
29.12.2014	311.9
30.12.2014	308.8
31.12.2014	317
01.01.2015	313.9
02.01.2015	315.1
05.01.2015	273.2
06.01.2015	285.4
07.01.2015	297
08.01.2015	285.6
09.01.2015	292.8
12.01.2015	267.6
13.01.2015	229.8
14.01.2015	183.2
15.01.2015	217.7
16.01.2015	206.7
18.01.2015	209.9
19.01.2015	213.2
20.01.2015	218
21.01.2015	225.5
22.01.2015	226.3
23.01.2015	235
26.01.2015	274.5
27.01.2015	263.6
28.01.2015	236.1
29.01.2015	235
30.01.2015	229.1
02.02.2015	237.8
03.02.2015	228.6
04.02.2015	227.1
05.02.2015	216.8
06.02.2015	223.2
09.02.2015	221.1
10.02.2015	220.9
11.02.2015	219.8
12.02.2015	222.4
13.02.2015	236.1
15.02.2015	235.9
16.02.2015	233.6
17.02.2015	244
18.02.2015	236.3
19.02.2015	240.2
20.02.2015	244.5
23.02.2015	239.4
24.02.2015	239.7
25.02.2015	238
26.02.2015	236.9
27.02.2015	255
02.03.2015	277.3
03.03.2015	283.8
04.03.2015	273.3
05.03.2015	277.7
06.03.2015	273.2
09.03.2015	291
10.03.2015	292.7
11.03.2015	296.7
12.03.2015	295.6
13.03.2015	283.3
16.03.2015	291.2
17.03.2015	285.3
18.03.2015	257.3
19.03.2015	261.9
20.03.2015	262.2
23.03.2015	267.2
24.03.2015	246
25.03.2015	245.9
26.03.2015	249.2
27.03.2015	246.5
30.03.2015	247.9
31.03.2015	244.3
01.04.2015	246.9
02.04.2015	253.2
03.04.2015	254.2
06.04.2015	255.6
07.04.2015	253.7
08.04.2015	244.9
09.04.2015	243.6
10.04.2015	236.1
13.04.2015	225
14.04.2015	220.2
15.04.2015	224
16.04.2015	228.5
17.04.2015	222.4
20.04.2015	224.2
21.04.2015	235.8
22.04.2015	234.1
23.04.2015	236
24.04.2015	231.4
27.04.2015	227.7
28.04.2015	225.3
29.04.2015	225.2
30.04.2015	236.1
01.05.2015	231.8
04.05.2015	238.5
05.05.2015	235.9
06.05.2015	229.3
07.05.2015	237.3
08.05.2015	244.5
11.05.2015	242.5
12.05.2015	241.8
13.05.2015	235.8
14.05.2015	236.7
15.05.2015	237.3
18.05.2015	232.8
19.05.2015	231.7
20.05.2015	234.2
21.05.2015	235.3
22.05.2015	241
24.05.2015	240.9
25.05.2015	237.1
26.05.2015	237.4
27.05.2015	236.9
28.05.2015	236.9
29.05.2015	236.5
01.06.2015	222
02.06.2015	224.7
03.06.2015	225.1
04.06.2015	223.2
05.06.2015	224.5
08.06.2015	228.8
09.06.2015	229.1
10.06.2015	228.6
11.06.2015	229.8
12.06.2015	229.4
15.06.2015	237
16.06.2015	252.1
17.06.2015	248.9
18.06.2015	249.5
19.06.2015	244.6
22.06.2015	246.7
23.06.2015	244.3
24.06.2015	239.8
25.06.2015	242.1
26.06.2015	243.3
29.06.2015	256.7
30.06.2015	262.9
01.07.2015	258.1
02.07.2015	254.5
03.07.2015	256
06.07.2015	274.8
07.07.2015	265.5
08.07.2015	270.8
09.07.2015	269.2
10.07.2015	286.7
13.07.2015	292.6
14.07.2015	286.9
15.07.2015	285.4
16.07.2015	278.9
17.07.2015	279.9
20.07.2015	280.3
21.07.2015	275.8
22.07.2015	278
23.07.2015	276.5
24.07.2015	288.6
27.07.2015	294.8
28.07.2015	295.2
29.07.2015	289.9
30.07.2015	288.2
31.07.2015	284.5
03.08.2015	281.3
04.08.2015	285.5
05.08.2015	282.6
06.08.2015	279.1
07.08.2015	280.1
10.08.2015	265.1
11.08.2015	272
12.08.2015	267.1
13.08.2015	264.5
14.08.2015	266.1
17.08.2015	258.5
18.08.2015	183
19.08.2015	226.2
20.08.2015	235.5
21.08.2015	232.2
24.08.2015	210.5
25.08.2015	222.7
26.08.2015	226.2
27.08.2015	225.8
28.08.2015	231.8
31.08.2015	231.4
01.09.2015	228.2
02.09.2015	229.7
03.09.2015	227.3
04.09.2015	230.9
06.09.2015	241
07.09.2015	240.9
08.09.2015	244.2
09.09.2015	238.9
10.09.2015	239.5
11.09.2015	240.6
14.09.2015	230.9
15.09.2015	230.9
16.09.2015	229
17.09.2015	233.6
18.09.2015	233.8
21.09.2015	227.2
22.09.2015	231.3
23.09.2015	230.5
24.09.2015	234.6
25.09.2015	235.3
28.09.2015	240.4
29.09.2015	236.8
30.09.2015	236.5
01.10.2015	238.5
02.10.2015	237.9
05.10.2015	242
06.10.2015	247.4
07.10.2015	244.2
08.10.2015	243
09.10.2015	244.8
12.10.2015	246.1
13.10.2015	251.3
14.10.2015	253.5
15.10.2015	255.2
16.10.2015	263.5
19.10.2015	265
20.10.2015	271
21.10.2015	267.8
22.10.2015	275.8
23.10.2015	279.2
26.10.2015	287.2
27.10.2015	295.2
28.10.2015	304.5
29.10.2015	314.9
30.10.2015	328.2
02.11.2015	365
03.11.2015	405.3
04.11.2015	409.2
05.11.2015	388
06.11.2015	375.6
09.11.2015	381
10.11.2015	340.2
11.11.2015	314
12.11.2015	336.6
13.11.2015	338.5
16.11.2015	332.1
17.11.2015	336.3
18.11.2015	336
19.11.2015	326.5
20.11.2015	322.2
23.11.2015	323.6
24.11.2015	320.1
25.11.2015	329.9
26.11.2015	354
27.11.2015	358.9
30.11.2015	376.9
01.12.2015	362.7
02.12.2015	359.1
03.12.2015	360.7
04.12.2015	363.2
07.12.2015	396.7
08.12.2015	420.8
09.12.2015	418.7
10.12.2015	414.9
11.12.2015	456.3
14.12.2015	442.6
15.12.2015	466.5
16.12.2015	455
17.12.2015	455.8
18.12.2015	463.5
21.12.2015	437.9
22.12.2015	435.6
23.12.2015	442.6
24.12.2015	456.1
28.12.2015	420.2
29.12.2015	431.9
30.12.2015	424.7
31.12.2015	429
04.01.2016	432.9
05.01.2016	431.8
06.01.2016	428
07.01.2016	459
08.01.2016	454
11.01.2016	449.3
12.01.2016	432
13.01.2016	431.1
14.01.2016	429.3
15.01.2016	358.9
17.01.2016	382.1
18.01.2016	387
19.01.2016	379
20.01.2016	419.4
21.01.2016	411
22.01.2016	381
25.01.2016	391
26.01.2016	391.3
27.01.2016	395
28.01.2016	378.4
29.01.2016	377.6
01.02.2016	371.4
02.02.2016	372.9
03.02.2016	369
04.02.2016	389.8
05.02.2016	386.5
08.02.2016	370.5
09.02.2016	374
10.02.2016	380.9
11.02.2016	378
12.02.2016	383
14.02.2016	408.3
15.02.2016	399.9
16.02.2016	407.3
17.02.2016	414.9
18.02.2016	421.5
19.02.2016	420
22.02.2016	440.3
23.02.2016	421.1
24.02.2016	426.4
25.02.2016	424.9
26.02.2016	435.3
29.02.2016	439.2
01.03.2016	434.8
02.03.2016	422.2
03.03.2016	420.6
04.03.2016	408.8
07.03.2016	412.7
08.03.2016	411.4
09.03.2016	412.9
10.03.2016	416.5
11.03.2016	420.5
14.03.2016	416
15.03.2016	415.5
16.03.2016	417.3
17.03.2016	418.8
18.03.2016	407.7
21.03.2016	411.9
22.03.2016	417.7
23.03.2016	418.1
24.03.2016	415.3
28.03.2016	424.1
29.03.2016	415.8
30.03.2016	413.2
31.03.2016	416
01.04.2016	417.6
04.04.2016	420.5
05.04.2016	423.8
06.04.2016	422.6
07.04.2016	422.3
08.04.2016	418.5
11.04.2016	423.7
12.04.2016	426.6
13.04.2016	424.8
14.04.2016	426
15.04.2016	431.5
18.04.2016	430
19.04.2016	437.8
20.04.2016	444
21.04.2016	452
22.04.2016	447.8
25.04.2016	461.8
26.04.2016	468.1
